domain,word,letter,syllables,pos,score
anarchist.com,anarchist,A,3,Noun,27
afternoon.com,afternoon,A,3,Noun,37
acoustics.com,acoustics,A,3,Noun,27
ancestor.com,ancestor,A,3,Noun,50
armada.com,armada,A,3,Noun,54
avalanche.com,avalanche,A,3,Noun,27
ancestry.com,ancestry,A,3,Noun,40
acrylic.com,acrylic,A,3,Noun,40
attendant.com,attendant,A,3,Noun,27
analogue.com,analogue,A,3,Noun,40
australian.com,australian,A,3,Noun,27
antichrist.com,antichrist,A,3,Noun,27
augustus.com,augustus,A,3,Noun,40
aberdeen.com,aberdeen,A,3,Noun,50
addiction.com,addiction,A,3,Noun,37
antigen.com,antigen,A,3,Noun,50
abraham.com,abraham,A,3,Noun,40
applicant.com,applicant,A,3,Noun,27
arena.com,arena,A,3,Noun,59
artifact.com,artifact,A,3,Noun,40
asylum.com,asylum,A,3,Noun,47
armory.com,armory,A,3,Noun,47
adelaide.com,adelaide,A,3,Noun,40
appetite.com,appetite,A,3,Noun,40
almanac.com,almanac,A,3,Noun,40
audition.com,audition,A,3,Noun,50
auditor.com,auditor,A,3,Noun,50
alphabet.com,alphabet,A,3,Noun,40
anchorage.com,anchorage,A,3,Noun,27
acquaintance.com,acquaintance,A,3,Noun,18
adhesive.com,adhesive,A,3,Noun,40
albany.com,albany,A,3,Noun,47
aesthetics.com,aesthetics,A,3,Noun,27
abortion.com,abortion,A,3,Noun,50
absorption.com,absorption,A,3,Noun,37
appearance.com,appearance,A,3,Noun,27
advisor.com,advisor,A,3,Noun,50
alcohol.com,alcohol,A,3,Noun,40
aquarius.com,aquarius,A,3,Noun,40
airliner.com,airliner,A,3,Noun,40
ammonia.com,ammonia,A,3,Noun,47
authorship.com,authorship,A,3,Noun,27
aroma.com,aroma,A,3,Noun,59
attrition.com,attrition,A,3,Noun,37
aggression.com,aggression,A,3,Noun,37
amethyst.com,amethyst,A,3,Noun,40
amino.com,amino,A,3,Noun,59
antidote.com,antidote,A,3,Noun,40
antony.com,antony,A,3,Noun,47
affliction.com,affliction,A,3,Noun,37
apollo.com,apollo,A,3,Noun,54
assignment.com,assignment,A,3,Noun,27
allowance.com,allowance,A,3,Noun,27
athletics.com,athletics,A,3,Noun,27
alaskan.com,alaskan,A,3,Noun,40
autopsy.com,autopsy,A,3,Noun,40
adjutant.com,adjutant,A,3,Noun,40
aperture.com,aperture,A,3,Noun,40
acoustic.com,acoustic,A,3,Noun,40
attainment.com,attainment,A,3,Noun,27
algerian.com,algerian,A,3,Noun,40
aneurysm.com,aneurysm,A,3,Noun,40
alderman.com,alderman,A,3,Noun,40
amplifier.com,amplifier,A,3,Noun,27
apprentice.com,apprentice,A,3,Noun,27
argument.com,argument,A,3,Noun,40
algorithm.com,algorithm,A,3,Noun,27
aggressor.com,aggressor,A,3,Noun,37
aspirin.com,aspirin,A,3,Noun,40
aeroplane.com,aeroplane,A,3,Noun,27
amnesty.com,amnesty,A,3,Noun,40
addition.com,addition,A,3,Noun,50
abuser.com,abuser,A,3,Noun,47
anemia.com,anemia,A,3,Noun,54
attribute.com,attribute,A,3,Noun,27
alignment.com,alignment,A,3,Noun,27
aerosol.com,aerosol,A,3,Noun,40
affiliate.com,affiliate,A,3,Noun,27
anderson.com,anderson,A,3,Noun,50
affection.com,affection,A,3,Noun,37
auspices.com,auspices,A,3,Noun,40
adoption.com,adoption,A,3,Noun,50
apathy.com,apathy,A,3,Noun,47
attitude.com,attitude,A,3,Noun,40
announcer.com,announcer,A,3,Noun,27
animal.com,animal,A,3,Noun,47
archery.com,archery,A,3,Noun,40
adulthood.com,adulthood,A,3,Noun,27
augusta.com,augusta,A,3,Noun,47
abstinence.com,abstinence,A,3,Noun,27
assembly.com,assembly,A,3,Noun,40
anterior.com,anterior,A,3,Noun,50
ascension.com,ascension,A,3,Noun,37
advantage.com,advantage,A,3,Noun,27
athenian.com,athenian,A,3,Noun,40
argentine.com,argentine,A,3,Noun,27
adhesion.com,adhesion,A,3,Noun,50
afterlife.com,afterlife,A,3,Noun,27
aleppo.com,aleppo,A,3,Noun,54
arsenal.com,arsenal,A,3,Noun,40
admirer.com,admirer,A,3,Noun,40
agency.com,agency,A,3,Noun,47
activism.com,activism,A,3,Noun,40
adjustment.com,adjustment,A,3,Noun,27
aversion.com,aversion,A,3,Noun,50
acquittal.com,acquittal,A,3,Noun,27
artistry.com,artistry,A,3,Noun,40
assistance.com,assistance,A,3,Noun,27
amplitude.com,amplitude,A,3,Noun,27
alchemist.com,alchemist,A,3,Noun,27
arthritis.com,arthritis,A,3,Noun,27
astronaut.com,astronaut,A,3,Noun,27
adherence.com,adherence,A,3,Noun,27
apartheid.com,apartheid,A,3,Noun,27
atlantic.com,atlantic,A,3,Noun,40
accordance.com,accordance,A,3,Noun,27
attacker.com,attacker,A,3,Noun,40
avenger.com,avenger,A,3,Noun,40
armistice.com,armistice,A,3,Noun,27
african.com,african,A,3,Noun,40
alamo.com,alamo,A,3,Noun,59
autograph.com,autograph,A,3,Noun,27
anecdote.com,anecdote,A,3,Noun,40
awkwardness.com,awkwardness,A,3,Noun,22
accomplice.com,accomplice,A,3,Noun,27
adviser.com,adviser,A,3,Noun,40
admiral.com,admiral,A,3,Noun,40
aquarium.com,aquarium,A,3,Noun,40
attendance.com,attendance,A,3,Noun,27
accordion.com,accordion,A,3,Noun,37
assailant.com,assailant,A,3,Noun,27
archdiocese.com,archdiocese,A,3,Noun,22
amendment.com,amendment,A,3,Noun,27
activist.com,activist,A,3,Noun,40
arrival.com,arrival,A,3,Noun,40
arkansas.com,arkansas,A,3,Noun,40
acceptance.com,acceptance,A,3,Noun,27
aftermath.com,aftermath,A,3,Noun,27
atmosphere.com,atmosphere,A,3,Noun,27
arsenic.com,arsenic,A,3,Noun,40
anarchy.com,anarchy,A,3,Noun,40
angola.com,angola,A,3,Noun,54
amateur.com,amateur,A,3,Noun,40
accession.com,accession,A,3,Noun,37
albanian.com,albanian,A,3,Noun,40
antelope.com,antelope,A,3,Noun,40
aladdin.com,aladdin,A,3,Noun,40
architect.com,architect,A,3,Noun,27
appendix.com,appendix,A,3,Noun,50
assistant.com,assistant,A,3,Noun,27
agony.com,agony,A,3,Noun,52
analyst.com,analyst,A,3,Noun,40
assortment.com,assortment,A,3,Noun,27
adjective.com,adjective,A,3,Noun,27
attraction.com,attraction,A,3,Noun,37
arabian.com,arabian,A,3,Noun,40
